sheet_index,prefecture_code,prefecture_name_jp,prefecture_name_en,year,variable,value
1,0,全国,Japan,1995,1.1.1 Elementary schools ,298
1,0,全国,Japan,2000,1.1.1 Elementary schools ,329.3
1,0,全国,Japan,2005,1.1.1 Elementary schools ,323.2
1,0,全国,Japan,2006,1.1.1 Elementary schools ,319.9
1,0,全国,Japan,2007,1.1.1 Elementary schools ,319.5
1,0,全国,Japan,2008,1.1.1 Elementary schools ,318.4
1,0,全国,Japan,2009,1.1.1 Elementary schools ,319.3
1,0,全国,Japan,2010,1.1.1 Elementary schools ,319.8
1,0,全国,Japan,2011,1.1.1 Elementary schools ,315.8
1,0,全国,Japan,2012,1.1.1 Elementary schools ,312
1,0,全国,Japan,2013,1.1.1 Elementary schools ,307.2
1,0,全国,Japan,2014,1.1.1 Elementary schools ,303.1
1,0,全国,Japan,2015,1.1.1 Elementary schools ,321.1
1,0,全国,Japan,2016,1.1.1 Elementary schools ,316.6
1,0,全国,Japan,2017,1.1.1 Elementary schools ,313.2
1,0,全国,Japan,2018,1.1.1 Elementary schools ,310
1,0,全国,Japan,2019,1.1.1 Elementary schools ,307.6
1,0,全国,Japan,2020,1.1.1 Elementary schools ,314.3
1,0,全国,Japan,2021,1.1.1 Elementary schools ,311.3
1,0,全国,Japan,2022,1.1.1 Elementary schools ,308.5
1,1,北 海 道,Hokkaido,1995,1.1.1 Elementary schools ,433.6
1,1,北 海 道,Hokkaido,2000,1.1.1 Elementary schools ,477.5
1,1,北 海 道,Hokkaido,2005,1.1.1 Elementary schools ,478
1,1,北 海 道,Hokkaido,2006,1.1.1 Elementary schools ,475.9
1,1,北 海 道,Hokkaido,2007,1.1.1 Elementary schools ,473.3
1,1,北 海 道,Hokkaido,2008,1.1.1 Elementary schools ,471.1
1,1,北 海 道,Hokkaido,2009,1.1.1 Elementary schools ,471.9
1,1,北 海 道,Hokkaido,2010,1.1.1 Elementary schools ,461.7
1,1,北 海 道,Hokkaido,2011,1.1.1 Elementary schools ,446.1
1,1,北 海 道,Hokkaido,2012,1.1.1 Elementary schools ,435
1,1,北 海 道,Hokkaido,2013,1.1.1 Elementary schools ,426.9
1,1,北 海 道,Hokkaido,2014,1.1.1 Elementary schools ,416.9
1,1,北 海 道,Hokkaido,2015,1.1.1 Elementary schools ,447.5
1,1,北 海 道,Hokkaido,2016,1.1.1 Elementary schools ,434.6
1,1,北 海 道,Hokkaido,2017,1.1.1 Elementary schools ,429.3
1,1,北 海 道,Hokkaido,2018,1.1.1 Elementary schools ,422.9
1,1,北 海 道,Hokkaido,2019,1.1.1 Elementary schools ,415.6
1,1,北 海 道,Hokkaido,2020,1.1.1 Elementary schools ,428.4
1,1,北 海 道,Hokkaido,2021,1.1.1 Elementary schools ,422
1,1,北 海 道,Hokkaido,2022,1.1.1 Elementary schools ,414.3
1,2,青 森 県,Aomori-ken,1995,1.1.1 Elementary schools ,467.5
1,2,青 森 県,Aomori-ken,2000,1.1.1 Elementary schools ,515
1,2,青 森 県,Aomori-ken,2005,1.1.1 Elementary schools ,480.6
1,2,青 森 県,Aomori-ken,2006,1.1.1 Elementary schools ,472
1,2,青 森 県,Aomori-ken,2007,1.1.1 Elementary schools ,483.3
