sheet_index,prefecture_code,prefecture_name_jp,prefecture_name_en,year,variable,value
48,0,全国,Japan,2000,6.6.1 Ratio Elem-Jr High Grads,24
49,0,全国,Japan,2000,6.6.2 Ratio SHS Completers,45.4
50,0,全国,Japan,2000,6.6.3 Ratio JC Completers,12
51,0,全国,Japan,2000,6.6.4 College-Uni comple. ratio,14.8
52,0,全国,Japan,2000,7.1.1 ES ed exp,904615
53,0,全国,Japan,2000,7.1.2 Junior HS ed exp,974324
54,0,全国,Japan,2000,7.1.3 HS educ exp,1101297
55,0,全国,Japan,2000,7.1.4 Kindergarten ed exp,738829
48,0,全国,Japan,2001,6.6.1 Ratio Elem-Jr High Grads,NA
49,0,全国,Japan,2001,6.6.2 Ratio SHS Completers,NA
50,0,全国,Japan,2001,6.6.3 Ratio JC Completers,NA
51,0,全国,Japan,2001,6.6.4 College-Uni comple. ratio,NA
52,0,全国,Japan,2001,7.1.1 ES ed exp,NA
53,0,全国,Japan,2001,7.1.2 Junior HS ed exp,NA
54,0,全国,Japan,2001,7.1.3 HS educ exp,NA
55,0,全国,Japan,2001,7.1.4 Kindergarten ed exp,NA
48,0,全国,Japan,2002,6.6.1 Ratio Elem-Jr High Grads,NA
49,0,全国,Japan,2002,6.6.2 Ratio SHS Completers,NA
50,0,全国,Japan,2002,6.6.3 Ratio JC Completers,NA
51,0,全国,Japan,2002,6.6.4 College-Uni comple. ratio,NA
52,0,全国,Japan,2002,7.1.1 ES ed exp,NA
53,0,全国,Japan,2002,7.1.2 Junior HS ed exp,NA
54,0,全国,Japan,2002,7.1.3 HS educ exp,NA
55,0,全国,Japan,2002,7.1.4 Kindergarten ed exp,NA
48,0,全国,Japan,2003,6.6.1 Ratio Elem-Jr High Grads,NA
49,0,全国,Japan,2003,6.6.2 Ratio SHS Completers,NA
50,0,全国,Japan,2003,6.6.3 Ratio JC Completers,NA
51,0,全国,Japan,2003,6.6.4 College-Uni comple. ratio,NA
52,0,全国,Japan,2003,7.1.1 ES ed exp,NA
53,0,全国,Japan,2003,7.1.2 Junior HS ed exp,NA
54,0,全国,Japan,2003,7.1.3 HS educ exp,NA
55,0,全国,Japan,2003,7.1.4 Kindergarten ed exp,NA
48,0,全国,Japan,2004,6.6.1 Ratio Elem-Jr High Grads,NA
49,0,全国,Japan,2004,6.6.2 Ratio SHS Completers,NA
50,0,全国,Japan,2004,6.6.3 Ratio JC Completers,NA
51,0,全国,Japan,2004,6.6.4 College-Uni comple. ratio,NA
52,0,全国,Japan,2004,7.1.1 ES ed exp,NA
53,0,全国,Japan,2004,7.1.2 Junior HS ed exp,NA
54,0,全国,Japan,2004,7.1.3 HS educ exp,NA
55,0,全国,Japan,2004,7.1.4 Kindergarten ed exp,NA
1,0,全国,Japan,2005,1.1.1 Elementary schools ,323.2
2,0,全国,Japan,2005,1.1.2 Junior high schools ,306.1
3,0,全国,Japan,2005,1.1.3 Senior high schools,141.8
